特斯拉,Model Y,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4283793703f7406eb9ea27e44fc201a3~tplv-resize:640:0.png,480309,"[24.99, 35.49]",特斯拉中国,1,中型SUV,纯电动,2025.01,4年或8万公里
比亚迪,海鸥,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e33ad9ed8d9749a28fed202afadcd900~tplv-resize:640:0.png,453593,"[6.98, 8.58]",比亚迪,2,小型车,纯电动,2024.08,6年或15万公里
日产,轩逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ecc4bc88c3f146dca8180b4932f217b7~tplv-resize:640:0.png,342395,"[6.98, 15.99]",东风日产,3,紧凑型车,汽油,2024.10,3年或10万公里
大众,朗逸,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ac798c1f36aa4d3fa143506e3a050852~tplv-resize:640:0.png,322933,"[6.8, 11.59]",上汽大众,4,紧凑型车,汽油,2024.10,3年或10万公里
比亚迪,秦PLUS DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,304388,"[7.68, 12.58]",比亚迪,5,紧凑型车,插电式混合动力,2024.02,6年或15万公里
比亚迪,元PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0a5a6f5f1e4e417f823a51d894fa7345~tplv-resize:640:0.png,275223,"[11.68, 14.48]",比亚迪,6,紧凑型SUV,纯电动,2024.03,6年或15万公里
比亚迪,宋PLUS DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f8cbeac5dfe64f538702a05236429100~tplv-resize:640:0.png,266189,"[13.28, 17.28]",比亚迪,7,紧凑型SUV,插电式混合动力,2024.07,6年或15万公里
五菱汽车,五菱宏光MINIEV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/de7a9eb4f0ee44249fd9f8d53837e2d7~tplv-resize:640:0.png,261141,"[2.98, 9.99]",上汽通用五菱,8,微型车,纯电动,2024.08,3年或12万公里
大众,帕萨特,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b4285df0389c47399c7f0fa8d52a8334~tplv-resize:640:0.png,246007,"[14.19, 21.99]",上汽大众,9,中型车,汽油,2024.09,3年或10万公里
比亚迪,宋Pro DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d4206d61f79e47bc81a222040fae2b35~tplv-resize:640:0.png,241598,"[9.68, 13.28]",比亚迪,10,紧凑型SUV,插电式混合动力,2024.09,6年或15万公里
大众,速腾,https://p3-dcd.byteimg.com/img/motor-mis-img/44c013067df2032cc03b6031eb68bf05~tplv-resize:640:0.png,241128,"[8.79, 13.29]",一汽-大众,11,紧凑型车,汽油,2024.10,3年或10万公里
比亚迪,秦L DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5e4b9f17cfaf457cadcbbcec5a0736b8~tplv-resize:640:0.png,229591,"[9.68, 13.68]",比亚迪,12,中型车,插电式混合动力,2024.05,6年或15万公里
吉利汽车,星越L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/29f9c5cbc4954233a41d36cad31dc4a5~tplv-resize:640:0.png,219892,"[12.22, 17.02]",吉利汽车,13,紧凑型SUV,汽油,2024.10,4年或10万公里
长安,长安CS75 PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ca979536da2c4cadb64281d0f33886d0~tplv-resize:640:0.png,218353,"[9.99, 13.99]",长安汽车,14,紧凑型SUV,汽油,2024.09,3年或10万公里
比亚迪,驱逐舰05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fdd396bacd4e433699c66a8dc73db8db~tplv-resize:640:0.png,217232,"[7.68, 12.58]",比亚迪,15,紧凑型车,插电式混合动力,2024.02,6年或15万公里
五菱汽车,五菱缤果,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8a82589d0fbf4119a29b97b77dc96d62~tplv-resize:640:0.png,210374,"[5.18, 8.38]",上汽通用五菱,16,小型车,纯电动,2024.06,3年或10万公里
丰田,锋兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e716928f981407b80c5e8772b8141a2~tplv-resize:640:0.png,204847,"[9.58, 15.18]",广汽丰田,17,紧凑型SUV,汽油,2025.01,3年或10万公里
比亚迪,海豹06,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e9969c27304412180029048adc4958a~tplv-resize:640:0.png,193631,"[9.68, 13.68]",比亚迪,18,中型车,插电式混合动力,2024.05,6年或15万公里
丰田,RAV4荣放,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/aaf3143e1177415eb37359b9df0ca35d~tplv-resize:640:0.png,193402,"[12.98, 19.88]",一汽丰田,19,紧凑型SUV,汽油,2024.09,3年或10万公里
AITO,问界M7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/887713ee6ba84da6b8962888260c914f~tplv-resize:640:0.png,193342,"[24.98, 32.98]",赛力斯汽车,20,中大型SUV,增程式,2024.08,4年或10万公里
理想汽车,理想L6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/70084ec6188c457d81e000f310d9af9b~tplv-resize:640:0.png,192257,"[24.98, 27.98]",理想汽车,21,中大型SUV,增程式,2024.04,5年或10万公里
丰田,卡罗拉锐放,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9806ab780da34d2897aeb01e830b1794~tplv-resize:640:0.png,190992,"[9.48, 13.98]",一汽丰田,22,紧凑型SUV,汽油,2024.06,3年或10万公里
奇瑞,瑞虎8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d021bb41298c4273b67003fdef0e146b~tplv-resize:640:0.png,190114,"[8.99, 13.99]",奇瑞汽车,23,中型SUV,汽油,2024.09,3年或10万公里
本田,本田CR-V,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/985f8681965047a9a3c978f31c781105~tplv-resize:640:0.png,182183,"[13.29, 22.29]",东风本田,24,紧凑型SUV,油电混合,2024.04,3年或10万公里
特斯拉,Model 3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0824d2c3a2fc4de0a84e86eaa93a5745~tplv-resize:640:0.png,176793,"[23.55, 33.95]",特斯拉中国,25,中型车,纯电动,2025.01,4年或8万公里
奥迪,奥迪A6L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9bae5a357d244e0fbef2d9d35d1dad81~tplv-resize:640:0.png,176347,"[29.53, 48.6]",一汽奥迪,26,中大型车,汽油,2024.11,3年或10万公里
比亚迪,秦PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/11d15a27fddd47b5885b672f9783d578~tplv-resize:640:0.png,175637,"[9.98, 15.68]",比亚迪,27,紧凑型车,纯电动,2024.02,6年或15万公里
大众,迈腾,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/af209a0bc7a548a89dc86b1062cac9c7~tplv-resize:640:0.png,174973,"[14.98, 22.69]",一汽-大众,28,中型车,汽油,2024.10,3年或10万公里
大众,途观L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fae84b4c399e4a4294a7eca0fec5be6c~tplv-resize:640:0.png,170679,"[14.68, 22.68]",上汽大众,29,中型SUV,汽油,2024.05,3年或10万公里
大众,探岳,https://p9-dcd.byteimg.com/img/motor-mis-img/fa07dcebd6da68142bf78b8afc536956~tplv-resize:640:0.png,164177,"[15.99, 21.49]",一汽-大众,30,中型SUV,汽油,2023.10,3年或10万公里
比亚迪,海豚,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/800648cb11eb4b169922d604921efe16~tplv-resize:640:0.png,160594,"[9.98, 12.98]",比亚迪,31,小型车,纯电动,2024.07,6年或15万公里
奔驰,奔驰C级,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e8abf034d5504085a9850c7b7632b065~tplv-resize:640:0.png,159700,"[25.38, 29.96]",北京奔驰,32,中型车,48V轻混系统,2024.09,3年不限公里
丰田,凯美瑞,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9f5aa2789ee431883f912465dad6047~tplv-resize:640:0.png,158038,"[14.08, 22.88]",广汽丰田,33,中型车,油电混合,2024.12,3年或10万公里
埃安,AION Y,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/34b2c834bad64064a957ee05ada73016~tplv-resize:640:0.png,156503,"[9.68, 13.28]",广汽埃安新能源,34,紧凑型SUV,纯电动,2024.12,4年或15万公里
